fila_csv,motivo,ficha,establecimiento
2,FICHA_NO_EXISTE,21,2
552,FICHA_NO_EXISTE,188649,2
672,FICHA_NO_EXISTE,60552,2
919,FICHA_NO_EXISTE,123030,3
1051,FICHA_NO_EXISTE,125706,3
1199,FICHA_NO_EXISTE,8122,2
1557,FICHA_NO_EXISTE,180470,2
1718,FICHA_NO_EXISTE,178311,2
2166,FICHA_NO_EXISTE,112814,1
2966,FICHA_NO_EXISTE,187208,2
3817,FICHA_NO_EXISTE,125706,3
4827,FICHA_NO_EXISTE,101703,2
5027,FICHA_NO_EXISTE,187422,2
5924,FICHA_NO_EXISTE,24733,2
6011,FICHA_NO_EXISTE,29488,2
6837,FICHA_NO_EXISTE,56932,3
6988,FICHA_NO_EXISTE,18041,2
7538,FICHA_NO_EXISTE,40374,1
8348,FICHA_NO_EXISTE,114521,2
8773,FICHA_NO_EXISTE,189736,2
8919,FICHA_NO_EXISTE,123030,3
9024,FICHA_NO_EXISTE,59283,3
9027,FICHA_NO_EXISTE,94220,3
9233,FICHA_NO_EXISTE,180616,2
9777,FICHA_NO_EXISTE,123030,3
10244,FICHA_NO_EXISTE,57321,2
10961,FICHA_NO_EXISTE,461970,3
11359,FICHA_NO_EXISTE,80738,2
11772,FICHA_NO_EXISTE,47532,3
11824,FICHA_NO_EXISTE,108113,1
12169,FICHA_NO_EXISTE,160618,2
12871,FICHA_NO_EXISTE,125706,3
12943,FICHA_NO_EXISTE,99129,3
13624,FICHA_NO_EXISTE,126115,3
14589,FICHA_NO_EXISTE,79930,3
14602,FICHA_NO_EXISTE,21776,2
14640,FICHA_NO_EXISTE,57321,2
14934,FICHA_NO_EXISTE,187422,2
15630,FICHA_NO_EXISTE,125706,3
16915,FICHA_NO_EXISTE,185827,2
17289,FICHA_NO_EXISTE,163620,2
17627,FICHA_NO_EXISTE,185209,2
18342,FICHA_NO_EXISTE,36274,2
18880,FICHA_NO_EXISTE,109941,1
19490,FICHA_NO_EXISTE,57321,2
19638,FICHA_NO_EXISTE,29488,2
20374,FICHA_NO_EXISTE,45375,2
21006,FICHA_NO_EXISTE,57321,2
21314,FICHA_NO_EXISTE,13527,2
22107,FICHA_NO_EXISTE,186386,2
22550,FICHA_NO_EXISTE,21682,2
22841,FICHA_NO_EXISTE,186486,2
23779,FICHA_NO_EXISTE,167142,2
23808,FICHA_NO_EXISTE,164778,2
23941,FICHA_NO_EXISTE,45375,2
24114,FICHA_NO_EXISTE,185209,2
24602,FICHA_NO_EXISTE,13527,2
24804,FICHA_NO_EXISTE,44569,2
25315,FICHA_NO_EXISTE,45375,2
25356,FICHA_NO_EXISTE,18041,2
25429,FICHA_NO_EXISTE,44569,2
25596,FICHA_NO_EXISTE,186779,2
25827,FICHA_NO_EXISTE,18041,2
27067,FICHA_NO_EXISTE,163620,2
27125,FICHA_NO_EXISTE,84799,2
27643,FICHA_NO_EXISTE,53108,2
28364,FICHA_NO_EXISTE,57321,2
28829,FICHA_NO_EXISTE,148609,2
29557,FICHA_NO_EXISTE,13527,2
30532,FICHA_NO_EXISTE,187208,2
30768,FICHA_NO_EXISTE,45375,2
31077,FICHA_NO_EXISTE,182674,2
31764,FICHA_NO_EXISTE,187282,2
32088,FICHA_NO_EXISTE,18041,2
32360,FICHA_NO_EXISTE,25577,2
32616,FICHA_NO_EXISTE,29488,2
32688,FICHA_NO_EXISTE,24733,2
33034,FICHA_NO_EXISTE,187422,2
33566,FICHA_NO_EXISTE,11914,2
33731,FICHA_NO_EXISTE,182674,2
33769,FICHA_NO_EXISTE,21682,2
34380,FICHA_NO_EXISTE,24733,2
34732,FICHA_NO_EXISTE,144224,2
35822,FICHA_NO_EXISTE,186486,2
36803,FICHA_NO_EXISTE,123030,3
37589,FICHA_NO_EXISTE,45375,2
37817,FICHA_NO_EXISTE,182674,2
37853,FICHA_NO_EXISTE,11914,2
38157,FICHA_NO_EXISTE,186486,2
39047,FICHA_NO_EXISTE,80738,2
39131,FICHA_NO_EXISTE,160618,2
39144,FICHA_NO_EXISTE,121096,3
39335,FICHA_NO_EXISTE,873921,3
39500,FICHA_NO_EXISTE,457282,3
40097,FICHA_NO_EXISTE,108113,1
40381,FICHA_NO_EXISTE,20131,1
40407,FICHA_NO_EXISTE,73078,1
40534,FICHA_NO_EXISTE,20131,1
40872,FICHA_NO_EXISTE,163620,2
41605,FICHA_NO_EXISTE,182674,2
41771,FICHA_NO_EXISTE,123030,3
42061,FICHA_NO_EXISTE,187208,2
42234,FICHA_NO_EXISTE,71702,3
42325,FICHA_NO_EXISTE,3468,3
42581,FICHA_NO_EXISTE,122743,3
42654,FICHA_NO_EXISTE,80738,2
42740,FICHA_NO_EXISTE,21776,2
43012,FICHA_NO_EXISTE,188425,2
43443,FICHA_NO_EXISTE,187208,2
43486,FICHA_NO_EXISTE,910848,2
43569,FICHA_NO_EXISTE,71702,3
44168,FICHA_NO_EXISTE,182674,2
45133,FICHA_NO_EXISTE,182674,2
45357,FICHA_NO_EXISTE,24733,2
45825,FICHA_NO_EXISTE,119303,3
46681,FICHA_NO_EXISTE,160618,2
47013,FICHA_NO_EXISTE,178311,2
47508,FICHA_NO_EXISTE,44569,2
47980,FICHA_NO_EXISTE,10694,1
47992,FICHA_NO_EXISTE,81225,2
48768,FICHA_NO_EXISTE,20131,1
49559,FICHA_NO_EXISTE,75687,1
49739,FICHA_NO_EXISTE,188073,2
49768,FICHA_NO_EXISTE,122743,3
49997,FICHA_NO_EXISTE,577,3
51157,FICHA_NO_EXISTE,8122,2
52425,FICHA_NO_EXISTE,44569,2
52654,FICHA_NO_EXISTE,21776,2
52787,FICHA_NO_EXISTE,24733,2
53625,FICHA_NO_EXISTE,21682,2
53674,FICHA_NO_EXISTE,178311,2
54289,FICHA_NO_EXISTE,11894,3
55392,FICHA_NO_EXISTE,577,3
55870,FICHA_NO_EXISTE,178311,2
55901,FICHA_NO_EXISTE,25577,2
56211,FICHA_NO_EXISTE,11510,3
56630,FICHA_NO_EXISTE,80738,2
56866,FICHA_NO_EXISTE,144224,2
57031,FICHA_NO_EXISTE,186779,2
57035,FICHA_NO_EXISTE,178311,2
57561,FICHA_NO_EXISTE,80738,2
57697,FICHA_NO_EXISTE,64966,2
57709,FICHA_NO_EXISTE,123030,3
58702,FICHA_NO_EXISTE,36274,2
58855,FICHA_NO_EXISTE,144224,2
59468,FICHA_NO_EXISTE,187208,2
60032,FICHA_NO_EXISTE,79322,3
60982,FICHA_NO_EXISTE,79322,3
61411,FICHA_NO_EXISTE,79322,3
61929,FICHA_NO_EXISTE,57321,2
62177,FICHA_NO_EXISTE,111338,3
62411,FICHA_NO_EXISTE,29488,2
62486,FICHA_NO_EXISTE,186486,2
62667,FICHA_NO_EXISTE,180223,2
62752,FICHA_NO_EXISTE,79322,3
62905,FICHA_NO_EXISTE,112821,3
63432,FICHA_NO_EXISTE,24733,2
63757,FICHA_NO_EXISTE,11914,2
64316,FICHA_NO_EXISTE,79322,3
64635,FICHA_NO_EXISTE,189736,2
64907,FICHA_NO_EXISTE,47532,3
64947,FICHA_NO_EXISTE,21682,2
66363,FICHA_NO_EXISTE,123850,3
67082,FICHA_NO_EXISTE,64370,3
67235,FICHA_NO_EXISTE,12021,3
69035,FICHA_NO_EXISTE,21682,2
69108,FICHA_NO_EXISTE,186779,2
69446,FICHA_NO_EXISTE,119976,3
70002,FICHA_NO_EXISTE,104939,3
70235,FICHA_NO_EXISTE,66810,2
71721,FICHA_NO_EXISTE,44569,2
71790,FICHA_NO_EXISTE,13527,2
72018,FICHA_NO_EXISTE,144224,2
72990,FICHA_NO_EXISTE,112821,3
73108,FICHA_NO_EXISTE,50953,3
73212,FICHA_NO_EXISTE,47532,3
73931,FICHA_NO_EXISTE,94220,3
75095,FICHA_NO_EXISTE,124157,3
75999,FICHA_NO_EXISTE,44238,3
76164,FICHA_NO_EXISTE,186486,2
76292,FICHA_NO_EXISTE,121096,3
76295,FICHA_NO_EXISTE,114855,3
76306,FICHA_NO_EXISTE,124157,3
76848,FICHA_NO_EXISTE,577,3
77162,FICHA_NO_EXISTE,123030,3
77883,FICHA_NO_EXISTE,44569,2
78239,FICHA_NO_EXISTE,36274,2
78385,FICHA_NO_EXISTE,80738,2
78653,FICHA_NO_EXISTE,121096,3
78693,FICHA_NO_EXISTE,6883,3
79003,FICHA_NO_EXISTE,50953,3
80080,FICHA_NO_EXISTE,75687,1
80231,FICHA_NO_EXISTE,188649,2
80372,FICHA_NO_EXISTE,4332,2
80956,FICHA_NO_EXISTE,21776,2
82861,FICHA_NO_EXISTE,321,2
84215,FICHA_NO_EXISTE,75687,1
84648,FICHA_NO_EXISTE,124157,3
84711,FICHA_NO_EXISTE,59283,3
86203,FICHA_NO_EXISTE,190791,2
87937,FICHA_NO_EXISTE,123030,3
88571,FICHA_NO_EXISTE,189736,2
88934,FICHA_NO_EXISTE,124527,3
89110,FICHA_NO_EXISTE,124570,3
89643,FICHA_NO_EXISTE,75687,1
89729,FICHA_NO_EXISTE,188649,2
90871,FICHA_NO_EXISTE,180470,2
91129,FICHA_NO_EXISTE,191049,2
91169,FICHA_NO_EXISTE,186779,2
91282,FICHA_NO_EXISTE,5303,2
91598,FICHA_NO_EXISTE,75687,1
91695,FICHA_NO_EXISTE,90106,3
92865,FICHA_NO_EXISTE,65944,3
93432,FICHA_NO_EXISTE,24733,2
93947,FICHA_NO_EXISTE,123843,2
94053,FICHA_NO_EXISTE,124157,3
94468,FICHA_NO_EXISTE,13527,2
94675,FICHA_NO_EXISTE,188649,2
96500,FICHA_NO_EXISTE,29488,2
96794,FICHA_NO_EXISTE,36274,2
97015,FICHA_NO_EXISTE,123030,3
97128,FICHA_NO_EXISTE,189736,2
98008,FICHA_NO_EXISTE,82213,3
98236,FICHA_NO_EXISTE,577,3
98517,FICHA_NO_EXISTE,57321,2
99262,FICHA_NO_EXISTE,123030,3
99988,FICHA_NO_EXISTE,188649,2
100173,FICHA_NO_EXISTE,73078,1
101028,FICHA_NO_EXISTE,114521,2
101073,FICHA_NO_EXISTE,109059,3
101289,FICHA_NO_EXISTE,123030,3
101327,FICHA_NO_EXISTE,189736,2
101928,FICHA_NO_EXISTE,114855,3
102137,FICHA_NO_EXISTE,8470,3
102169,FICHA_NO_EXISTE,15113,3
102315,FICHA_NO_EXISTE,94220,3
102883,FICHA_NO_EXISTE,187422,2
102892,FICHA_NO_EXISTE,182674,2
103655,FICHA_NO_EXISTE,124157,3
103829,FICHA_NO_EXISTE,36274,2
104480,FICHA_NO_EXISTE,180223,2
104768,FICHA_NO_EXISTE,124946,3
104807,FICHA_NO_EXISTE,39255,3
105525,FICHA_NO_EXISTE,11914,2
106733,FICHA_NO_EXISTE,18041,2
106818,FICHA_NO_EXISTE,188649,2
